s,C,mol/mol,mol/mol
Time,"TEMP_KITCHEN","O2_KITCHEN","CO_KITCHEN"
 5.5809590E+001, 2.8537227E+002, 1.6712620E-001, 5.2976285E-004
 5.5986579E+001, 2.9818226E+002, 1.6547093E-001, 5.5143995E-004
 5.6164403E+001, 4.4014332E+002, 1.5028251E-001, 7.5032505E-004
 5.6344503E+001, 3.3757445E+002, 1.6192817E-001, 5.9785139E-004
 5.6523189E+001, 3.0265130E+002, 1.6510792E-001, 5.5618878E-004
 5.6709067E+001, 5.2221004E+002, 1.3952075E-001, 8.9067462E-004
 5.6889752E+001, 3.2911953E+002, 1.6086687E-001, 6.1173189E-004
 5.7061402E+001, 2.8471174E+002, 1.6609319E-001, 5.4329543E-004
 5.7246145E+001, 3.3428990E+002, 1.6110263E-001, 6.0858002E-004
 5.7430334E+001, 3.8107141E+002, 1.5591904E-001, 6.7641361E-004
 5.7608347E+001, 2.7729115E+002, 1.6666158E-001, 5.3584893E-004
 5.7791080E+001, 2.8154206E+002, 1.6653458E-001, 5.3750686E-004
 5.7966916E+001, 3.3860536E+002, 1.6087436E-001, 6.1162866E-004
 5.8145640E+001, 2.9961829E+002, 1.6441796E-001, 5.6522880E-004
 5.8321226E+001, 5.6947344E+002, 1.3785028E-001, 9.1296641E-004
 5.8506141E+001, 4.1364301E+002, 1.5404926E-001, 7.0097220E-004
 5.8687446E+001, 3.3938456E+002, 1.6015788E-001, 6.2096050E-004
 5.8868751E+001, 2.7427066E+002, 1.6602462E-001, 5.4419585E-004
 5.9051122E+001, 2.8981772E+002, 1.6505051E-001, 5.5695795E-004
 5.9227094E+001, 3.2390299E+002, 1.6177627E-001, 5.9975224E-004
 5.9409761E+001, 3.2640634E+002, 1.6161451E-001, 6.0193172E-004
 5.9589798E+001, 2.9584174E+002, 1.6461030E-001, 5.6272180E-004
 5.9763084E+001, 2.8155577E+002, 1.6604631E-001, 5.4391152E-004
 5.9944621E+001, 3.3189560E+002, 1.6174091E-001, 6.0030538E-004
 6.0126159E+001, 5.0782268E+002, 1.4518637E-001, 8.1688050E-004
 6.0304219E+001, 3.7077955E+002, 1.5827314E-001, 6.4568023E-004
 6.0488346E+001, 3.1994456E+002, 1.6277070E-001, 5.8679755E-004
 6.0663620E+001, 2.6916355E+002, 1.6770822E-001, 5.2213677E-004
 6.0841621E+001, 2.7402562E+002, 1.6772289E-001, 5.2193782E-004
 6.1030139E+001, 2.6953732E+002, 1.6807695E-001, 5.1730217E-004
 6.1206874E+001, 2.8710489E+002, 1.6618235E-001, 5.4210720E-004
 6.1389931E+001, 3.5391627E+002, 1.6059326E-001, 6.1533207E-004
